"","playerG","playerA","assists"
"1","Stamkos ","Stamkos ",0
"2","Kucherov ","Stamkos ",10
"3","Point ","Stamkos ",1
"4","Namestnikov ","Stamkos ",3
"5","Sergachev ","Stamkos ",4
"6","Killorn ","Stamkos ",0
"7","Palat ","Stamkos ",0
"8","Hedman ","Stamkos ",0
"9","Johnson ","Stamkos ",0
"10","Gourde ","Stamkos ",0
"11","Stralman ","Stamkos ",0
"12","Coburn ","Stamkos ",0
"13","Kunitz ","Stamkos ",0
"14","Koekkoek ","Stamkos ",0
"15","Callahan ","Stamkos ",0
"16","Brown ","Stamkos ",0
"17","Dotchin ","Stamkos ",0
"18","Girardi ","Stamkos ",0
"19","Paquette ","Stamkos ",0
"20","Stamkos ","Kucherov ",2
"21","Kucherov ","Kucherov ",0
"22","Point ","Kucherov ",1
"23","Namestnikov ","Kucherov ",3
"24","Sergachev ","Kucherov ",1
"25","Killorn ","Kucherov ",0
"26","Palat ","Kucherov ",0
"27","Hedman ","Kucherov ",1
"28","Johnson ","Kucherov ",0
"29","Gourde ","Kucherov ",0
"30","Stralman ","Kucherov ",0
"31","Coburn ","Kucherov ",0
"32","Kunitz ","Kucherov ",0
"33","Koekkoek ","Kucherov ",0
"34","Callahan ","Kucherov ",0
"35","Brown ","Kucherov ",0
"36","Dotchin ","Kucherov ",0
"37","Girardi ","Kucherov ",0
"38","Paquette ","Kucherov ",0
"39","Stamkos ","Point ",0
"40","Kucherov ","Point ",0
"41","Point ","Point ",0
"42","Namestnikov ","Point ",0
"43","Sergachev ","Point ",0
"44","Killorn ","Point ",1
"45","Palat ","Point ",3
"46","Hedman ","Point ",0
"47","Johnson ","Point ",3
"48","Gourde ","Point ",1
"49","Stralman ","Point ",0
"50","Coburn ","Point ",0
"51","Kunitz ","Point ",0
"52","Koekkoek ","Point ",0
"53","Callahan ","Point ",0
"54","Brown ","Point ",0
"55","Dotchin ","Point ",0
"56","Girardi ","Point ",0
"57","Paquette ","Point ",0
"58","Stamkos ","Namestnikov ",3
"59","Kucherov ","Namestnikov ",3
"60","Point ","Namestnikov ",0
"61","Namestnikov ","Namestnikov ",0
"62","Sergachev ","Namestnikov ",2
"63","Killorn ","Namestnikov ",0
"64","Palat ","Namestnikov ",0
"65","Hedman ","Namestnikov ",0
"66","Johnson ","Namestnikov ",0
"67","Gourde ","Namestnikov ",0
"68","Stralman ","Namestnikov ",0
"69","Coburn ","Namestnikov ",0
"70","Kunitz ","Namestnikov ",0
"71","Koekkoek ","Namestnikov ",0
"72","Callahan ","Namestnikov ",0
"73","Brown ","Namestnikov ",0
"74","Dotchin ","Namestnikov ",0
"75","Girardi ","Namestnikov ",0
"76","Paquette ","Namestnikov ",0
"77","Stamkos ","Sergachev ",1
"78","Kucherov ","Sergachev ",2
"79","Point ","Sergachev ",0
"80","Namestnikov ","Sergachev ",0
"81","Sergachev ","Sergachev ",0
"82","Killorn ","Sergachev ",0
"83","Palat ","Sergachev ",1
"84","Hedman ","Sergachev ",0
"85","Johnson ","Sergachev ",1
"86","Gourde ","Sergachev ",1
"87","Stralman ","Sergachev ",1
"88","Coburn ","Sergachev ",0
"89","Kunitz ","Sergachev ",0
"90","Koekkoek ","Sergachev ",0
"91","Callahan ","Sergachev ",0
"92","Brown ","Sergachev ",0
"93","Dotchin ","Sergachev ",0
"94","Girardi ","Sergachev ",0
"95","Paquette ","Sergachev ",0
"96","Stamkos ","Killorn ",2
"97","Kucherov ","Killorn ",4
